Name,Year.of.deployment,Type.of.wreck,Location.Country,Location.City.State.Province,Location.Water.Body,Depth,Latitude,Longitude,Accuracy,Last.update,Source,Notes,ISO.Country.Code,ISO.Country.Code.1,ISO.Country.Code.state.province,ID,calcite,chlomax,chlomean,chlomin,chlorange,cloudmax,cloudmean,cloudmin,damax,damean,damin,dissox,nitrate,parmax,parmean,ph,phos,salinity,silicate,sstmax,sstmean,sstmin,sstrange,Wreck.Category,Protected.Area,Name.Protected.Area,Near.Coral.ID,Distance.Coral,Near.Aquarium.Name,Distance.Aquarium,Last.update.Year,Last.update.Month,Last.update.Day,Purpose.of.deployment,Method.of.sinking,Baseline.survey,Monitoring,Method.of.monitoring,Research.outcome,Life.span.years,Source.1,Min.Est.Lifespan,Max.Est.Lifespan
YSR-38 - Greenville Reef,,fuel barge,USA, South Carolina,North Atlantic Ocean,26,32.94843,-78.91062,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,324,0.000808,1.710000038,0.848999977,0.561999977,1.148000002,0.591000021,0.509000003,0.407999992,0.129999995,0.104999997,0.086000003,4.96600008,0.247999996,55.41400146,37.7159996,8.274999619,0.105300002,35.22299957,0.998000026,28.27099991,22.62199974,17.9659996,10.30500031,tanker,1,Southeast U.S.,32104,218.735249,Alligator Adventure LLC,95.74858967,2015,9,1,,,,,,,,,,
YOG-78 - Greenville Reef,,ship,USA, South Carolina,North Atlantic Ocean,26,32.94843,-78.91415,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,325,0.000808,1.710000038,0.848999977,0.561999977,1.148000002,0.591000021,0.509000003,0.407999992,0.129999995,0.104999997,0.086000003,4.96600008,0.247999996,55.41400146,37.7159996,8.274999619,0.105300002,35.22299957,0.998000026,28.27099991,22.62199974,17.9659996,10.30500031,other,1,Southeast U.S.,32104,218.96695,Alligator Adventure LLC,95.80345725,2015,9,1,,,,,,,,,,
Greenville Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,26,32.94573,-78.91253,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,326,0.000808,1.710000038,0.848999977,0.561999977,1.148000002,0.591000021,0.509000003,0.407999992,0.129999995,0.104999997,0.086000003,4.96600008,0.247999996,55.41400146,37.7159996,8.274999619,0.105300002,35.22299957,0.998000026,28.27099991,22.62199974,17.9659996,10.30500031,service vessel,1,Southeast U.S.,32104,219.073947,Alligator Adventure LLC,96.07342096,2015,9,1,,,,,,,,,,
Greenville Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,26,32.94697,-78.91072,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,327,0.000808,1.710000038,0.848999977,0.561999977,1.148000002,0.591000021,0.509000003,0.407999992,0.129999995,0.104999997,0.086000003,4.96600008,0.247999996,55.41400146,37.7159996,8.274999619,0.105300002,35.22299957,0.998000026,28.27099991,22.62199974,17.9659996,10.30500031,service vessel,1,Southeast U.S.,32104,218.857218,Alligator Adventure LLC,95.90984166,2015,9,1,,,,,,,,,,
JoAnn - Greenville Reef,,cargo ship,USA, South Carolina,North Atlantic Ocean,26,32.94708,-78.91317,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,328,0.000808,1.710000038,0.848999977,0.561999977,1.148000002,0.591000021,0.509000003,0.407999992,0.129999995,0.104999997,0.086000003,4.96600008,0.247999996,55.41400146,37.7159996,8.274999619,0.105300002,35.22299957,0.998000026,28.27099991,22.62199974,17.9659996,10.30500031,dry cargo vessel,1,Southeast U.S.,32104,219.009236,Alligator Adventure LLC,95.93573654,2015,9,1,,,,,,,,,50,100
America - Ralph H Skelton Reef,,tug,USA, South Carolina,North Atlantic Ocean,26,32.94372,-78.95978,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,329,0.001121,2.026000023,1.07099998,0.768000007,1.258000016,0.568000019,0.488000005,0.395999998,0.142000005,0.119999997,0.103,4.985000134,0.246000007,55.06499863,37.89599991,8.276000023,0.108000003,35.11500168,1,28.13100052,22.49600029,17.57600021,10.55500031,service vessel,1,Southeast U.S.,32104,222.350955,South Carolina Aquarium,91.99391114,2015,9,1,,,,,,,,,50,100
Cape Romain Reef,,tug,USA, South Carolina,North Atlantic Ocean,20,32.99717,-79.03918,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,330,0.001452,2.72300005,1.457000017,0.90200001,1.82099998,0.572000027,0.481000006,0.389999986,0.165999994,0.141000003,0.115000002,5.005000114,0.244000003,55.06499863,37.89599991,8.277000427,0.110799998,34.99499893,1.001000047,28.11400032,22.24799919,16.26499939,11.84899998,service vessel,1,Southeast U.S.,32104,223.649017,South Carolina Aquarium,86.05839863,2015,9,1,,,,,,,,,50,100
Cape Romain Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,20,32.99747,-79.03813,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,331,0.001452,2.72300005,1.457000017,0.90200001,1.82099998,0.572000027,0.481000006,0.389999986,0.165999994,0.141000003,0.115000002,5.005000114,0.244000003,55.06499863,37.89599991,8.277000427,0.110799998,34.99499893,1.001000047,28.11400032,22.24799919,16.26499939,11.84899998,service vessel,1,Southeast U.S.,32104,223.554086,South Carolina Aquarium,86.16181459,2015,9,1,,,,,,,,,,
Dolphin - Cape Romain Reef,,tug,USA, South Carolina,North Atlantic Ocean,20,32.99685,-79.03852,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,332,0.001452,2.72300005,1.457000017,0.90200001,1.82099998,0.572000027,0.481000006,0.389999986,0.165999994,0.141000003,0.115000002,5.005000114,0.244000003,55.06499863,37.89599991,8.277000427,0.110799998,34.99499893,1.001000047,28.11400032,22.24799919,16.26499939,11.84899998,service vessel,1,Southeast U.S.,32104,223.627349,South Carolina Aquarium,86.10866017,2015,9,1,,,,,,,,,50,100
Cape Romain Reef,,armored personnel carrier,USA, South Carolina,North Atlantic Ocean,20,32.99807,-79.04107,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,333,0.001452,2.72300005,1.457000017,0.90200001,1.82099998,0.572000027,0.481000006,0.389999986,0.165999994,0.141000003,0.115000002,5.005000114,0.244000003,55.06499863,37.89599991,8.277000427,0.110799998,34.99499893,1.001000047,28.11400032,22.24799919,16.26499939,11.84899998,warship,1,Southeast U.S.,32104,223.712397,South Carolina Aquarium,85.9141564,2015,9,1,,,,,,,,,,
Cape Romain Reef,,armored personnel carrier,USA, South Carolina,North Atlantic Ocean,20,32.99788,-79.04102,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,334,0.001452,2.72300005,1.457000017,0.90200001,1.82099998,0.572000027,0.481000006,0.389999986,0.165999994,0.141000003,0.115000002,5.005000114,0.244000003,55.06499863,37.89599991,8.277000427,0.110799998,34.99499893,1.001000047,28.11400032,22.24799919,16.26499939,11.84899998,warship,1,Southeast U.S.,32104,223.723124,South Carolina Aquarium,85.91311951,2015,9,1,,,,,,,,,,
Hector - Hector Reef,,vessel,USA, South Carolina,North Atlantic Ocean,9,32.99962,-79.10125,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,335,0.002323,3.209000111,2.026000023,1.236999989,1.972000003,0.578000009,0.479000002,0.389999986,0.193000004,0.166999996,0.136000007,5.026000023,0.241999999,54.98600006,37.86500168,8.277999878,0.113700002,34.86299896,1.003000021,28.08499908,22.39500046,17.35499954,10.72999954,other,1,Southeast U.S.,32104,227.788852,South Carolina Aquarium,80.5510572,2015,9,1,,,,,,,,,50,100
Hector Reef,,landing craft,USA, South Carolina,North Atlantic Ocean,9,33.00105,-79.10077,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,336,0.004804,4.971000195,3.561000109,2.424999952,2.546000004,0.578999996,0.469999999,0.382999986,0.25,0.222000003,0.187000006,5.050000191,0.241999999,54.74100113,37.90000153,8.279000282,0.115000002,34.76100159,1,27.97999954,21.59499931,14.6590004,13.3210001,warship,1,Southeast U.S.,32104,227.65042,South Carolina Aquarium,80.63915514,2015,9,1,,,,,,,,,,
Hector Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,9,32.99913,-79.10045,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,337,0.002323,3.209000111,2.026000023,1.236999989,1.972000003,0.578000009,0.479000002,0.389999986,0.193000004,0.166999996,0.136000007,5.026000023,0.241999999,54.98600006,37.86500168,8.277999878,0.113700002,34.86299896,1.003000021,28.08499908,22.39500046,17.35499954,10.72999954,service vessel,1,Southeast U.S.,32104,227.768648,South Carolina Aquarium,80.60738045,2015,9,1,,,,,,,,,,
Hector Reef,,bk barge,USA, South Carolina,North Atlantic Ocean,9,33.00103,-79.10187,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,338,0.004804,4.971000195,3.561000109,2.424999952,2.546000004,0.578999996,0.469999999,0.382999986,0.25,0.222000003,0.187000006,5.050000191,0.241999999,54.74100113,37.90000153,8.279000282,0.115000002,34.76100159,1,27.97999954,21.59499931,14.6590004,13.3210001,service vessel,1,Southeast U.S.,32104,227.72909,South Carolina Aquarium,80.5399979,2015,9,1,,,,,,,,,,
Capers Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,14,32.74008,-79.57512,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,339,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,service vessel,1,Southeast U.S.,32104,280.188883,South Carolina Aquarium,33.34874315,2015,9,1,,,,,,,,,,
Capers Reef,,tug,USA, South Carolina,North Atlantic Ocean,14,32.74232,-79.57242,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,340,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,service vessel,1,Southeast U.S.,32104,279.835347,South Carolina Aquarium,33.5568522,2015,9,1,,,,,,,,,50,100
Capers Reef,,armored personnel carrier,USA, South Carolina,North Atlantic Ocean,14,32.74367,-79.57017,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,341,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,warship,1,Southeast U.S.,32104,279.577573,South Carolina Aquarium,33.74109124,2015,9,1,,,,,,,,,,
Capers Reef,,armored personnel carrier,USA, South Carolina,North Atlantic Ocean,14,32.7443,-79.56977,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,342,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,warship,1,Southeast U.S.,32104,279.503943,South Carolina Aquarium,33.76721593,2015,9,1,,,,,,,,,,
Capers Reef,,armored personnel carrier,USA, South Carolina,North Atlantic Ocean,14,32.74408,-79.56908,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,343,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,warship,1,Southeast U.S.,32104,279.470094,South Carolina Aquarium,33.83488699,2015,9,1,,,,,,,,,,
Capers Reef,,landing craft,USA, South Carolina,North Atlantic Ocean,14,32.74213,-79.57598,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,344,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,warship,1,Southeast U.S.,32104,280.104542,South Carolina Aquarium,33.23113503,2015,9,1,,,,,,,,,,
Capers Reef,,landing craft,USA, South Carolina,North Atlantic Ocean,14,32.74212,-79.57568,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,345,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,warship,1,Southeast U.S.,32104,280.083705,South Carolina Aquarium,33.25905124,2015,9,1,,,,,,,,,,
Capers Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,14,32.74942,-79.57473,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,346,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,service vessel,1,Southeast U.S.,32104,279.495996,South Carolina Aquarium,33.2235928,2015,9,1,,,,,,,,,,
Capers Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,14,32.75145,-79.57477,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,347,0.004296,4.363999844,3.141000032,2.278000116,2.085999966,0.572000027,0.460999995,0.35800001,0.239999995,0.216000006,0.186000004,5.089000225,0.231999993,54.13999939,38.08200073,8.279000282,0.127800003,34.28099823,1.021999955,28.30900002,21.48200035,13.16699982,15.1420002,service vessel,1,Southeast U.S.,32104,279.354663,South Carolina Aquarium,33.189022,2015,9,1,,,,,,,,,,
Capers Reef,,tug,USA, South Carolina,North Atlantic Ocean,14,32.74425,-79.57332,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,348,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,service vessel,1,Southeast U.S.,32104,279.762453,South Carolina Aquarium,33.4394306,2015,9,1,,,,,,,,,50,100
Capers Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,14,32.74213,-79.57707,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,349,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,service vessel,1,Southeast U.S.,32104,280.182848,South Carolina Aquarium,33.13037451,2015,9,1,,,,,,,,,,
Capers Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,14,32.74607,-79.5765,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,350,0.002142,2.638999939,1.921000004,1.356999993,1.281999946,0.547999978,0.453999996,0.34799999,0.189999998,0.170000002,0.144999996,5.066999912,0.232999995,54.70999908,38.29299927,8.277000427,0.126699999,34.42200089,1.026000023,28.3010006,21.8560009,13.90299988,14.39799976,service vessel,1,Southeast U.S.,32104,279.861474,South Carolina Aquarium,33.11381574,2015,9,1,,,,,,,,,,
Kimberly - Y-73 Reef,,tug,USA, South Carolina,North Atlantic Ocean,29,32.53351,-79.32507,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,351,0.000438,0.739000022,0.566999972,0.444999993,0.294,0.646000028,0.541000009,0.419,0.101999998,0.085000001,0.075000003,4.956999779,0.240999997,54.79299927,38.01100159,8.270999908,0.114100002,35.17499924,1.02699995,28.4489994,22.87000084,17.40399933,11.04500008,service vessel,1,Southeast U.S.,32104,278.822138,South Carolina Aquarium,63.18191746,2015,9,1,,,,,,,,,50,100
Tanda - Y-73 Reef,,tug,USA, South Carolina,North Atlantic Ocean,29,32.54325,-79.32238,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,352,0.000438,0.739000022,0.566999972,0.444999993,0.294,0.646000028,0.541000009,0.419,0.101999998,0.085000001,0.075000003,4.956999779,0.240999997,54.79299927,38.01100159,8.270999908,0.114100002,35.17499924,1.02699995,28.4489994,22.87000084,17.40399933,11.04500008,service vessel,1,Southeast U.S.,32104,277.864373,South Carolina Aquarium,62.92535311,2015,9,1,,,,,,,,,50,100
Helen - Y-73 Reef,,tug,USA, South Carolina,North Atlantic Ocean,29,32.54315,-79.32073,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,353,0.000438,0.739000022,0.566999972,0.444999993,0.294,0.646000028,0.541000009,0.419,0.101999998,0.085000001,0.075000003,4.956999779,0.240999997,54.79299927,38.01100159,8.270999908,0.114100002,35.17499924,1.02699995,28.4489994,22.87000084,17.40399933,11.04500008,service vessel,1,Southeast U.S.,32104,277.765703,South Carolina Aquarium,63.06949206,2015,9,1,,,,,,,,,50,100
Y-73 - Y-73 Reef,,tanker,USA, South Carolina,North Atlantic Ocean,29,32.54098,-79.31655,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,354,0.000438,0.739000022,0.566999972,0.444999993,0.294,0.646000028,0.541000009,0.419,0.101999998,0.085000001,0.075000003,4.956999779,0.240999997,54.79299927,38.01100159,8.270999908,0.114100002,35.17499924,1.02699995,28.4489994,22.87000084,17.40399933,11.04500008,tanker,1,Southeast U.S.,32104,277.670334,South Carolina Aquarium,63.52790101,2015,9,1,,,,,,,,,,
Charleston 60' Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,18,32.5511,-79.67195,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,355,0.001528,1.715999961,1.440999985,1.075999975,0.639999986,0.549000025,0.458999991,0.328999996,0.158000007,0.145999998,0.126000002,5.071000099,0.230000004,55.27799988,38.61999893,8.276000023,0.132300004,34.35800171,1.039999962,28.34300041,21.8409996,13.36100006,14.98200035,service vessel,1,Southeast U.S.,32104,300.799199,South Carolina Aquarium,35.70833186,2015,9,1,,,,,,,,,,
Charleston 60' Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,18,32.55002,-79.6676,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,356,0.001528,1.715999961,1.440999985,1.075999975,0.639999986,0.549000025,0.458999991,0.328999996,0.158000007,0.145999998,0.126000002,5.071000099,0.230000004,55.27799988,38.61999893,8.276000023,0.132300004,34.35800171,1.039999962,28.34300041,21.8409996,13.36100006,14.98200035,service vessel,1,Southeast U.S.,32104,300.575957,South Carolina Aquarium,36.07052868,2015,9,1,,,,,,,,,,
Charleston 60' Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,18,32.5559,-79.67165,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,357,0.001528,1.715999961,1.440999985,1.075999975,0.639999986,0.549000025,0.458999991,0.328999996,0.158000007,0.145999998,0.126000002,5.071000099,0.230000004,55.27799988,38.61999893,8.276000023,0.132300004,34.35800171,1.039999962,28.34300041,21.8409996,13.36100006,14.98200035,service vessel,1,Southeast U.S.,32104,300.422282,South Carolina Aquarium,35.33210613,2015,9,1,,,,,,,,,,
Charleston 60' Reef,,barge,USA, South Carolina,North Atlantic Ocean,18,32.55577,-79.67358,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,358,0.001528,1.715999961,1.440999985,1.075999975,0.639999986,0.549000025,0.458999991,0.328999996,0.158000007,0.145999998,0.126000002,5.071000099,0.230000004,55.27799988,38.61999893,8.276000023,0.132300004,34.35800171,1.039999962,28.34300041,21.8409996,13.36100006,14.98200035,service vessel,1,Southeast U.S.,32104,300.566781,South Carolina Aquarium,35.22086496,2015,9,1,,,,,,,,,50,100
Charleston Nearshore Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,9,32.70957,-79.76,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,359,0.011357,6.831999779,5.381000042,4.623000145,2.209000111,0.666000009,0.481999993,0.352999985,0.303000003,0.280000001,0.25999999,5.139999866,0.225999996,53.86600113,38.23899841,8.279999733,0.1382,33.81399918,1.034000039,28.80500031,21.69400024,13.24400043,15.56099987,service vessel,1,Southeast U.S.,32104,295.75503,South Carolina Aquarium,17.97852486,2015,9,1,,,,,,,,,,
Charleston Nearshore Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,9,32.70952,-79.76013,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,360,0.011357,6.831999779,5.381000042,4.623000145,2.209000111,0.666000009,0.481999993,0.352999985,0.303000003,0.280000001,0.25999999,5.139999866,0.225999996,53.86600113,38.23899841,8.279999733,0.1382,33.81399918,1.034000039,28.80500031,21.69400024,13.24400043,15.56099987,service vessel,1,Southeast U.S.,32104,295.768024,South Carolina Aquarium,17.97078136,2015,9,1,,,,,,,,,,
Charleston Nearshore Reef,,bk barge,USA, South Carolina,North Atlantic Ocean,9,32.71092,-79.76043,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,4 barges,USA,840,US-SC,361,0.011357,6.831999779,5.381000042,4.623000145,2.209000111,0.666000009,0.481999993,0.352999985,0.303000003,0.280000001,0.25999999,5.139999866,0.225999996,53.86600113,38.23899841,8.279999733,0.1382,33.81399918,1.034000039,28.80500031,21.69400024,13.24400043,15.56099987,service vessel,1,Southeast U.S.,32104,295.693535,South Carolina Aquarium,17.86872302,2015,9,1,,,,,,,,,,
Charleston Nearshore Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,9,32.70945,-79.76005,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,362,0.011357,6.831999779,5.381000042,4.623000145,2.209000111,0.666000009,0.481999993,0.352999985,0.303000003,0.280000001,0.25999999,5.139999866,0.225999996,53.86600113,38.23899841,8.279999733,0.1382,33.81399918,1.034000039,28.80500031,21.69400024,13.24400043,15.56099987,service vessel,1,Southeast U.S.,32104,295.766977,South Carolina Aquarium,17.98117045,2015,9,1,,,,,,,,,,
Charleston Coastal Anglers Reef,,deck barge,USA, South Carolina,North Atlantic Ocean,9,32.7105,-79.76225,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,363,0.011357,6.831999779,5.381000042,4.623000145,2.209000111,0.666000009,0.481999993,0.352999985,0.303000003,0.280000001,0.25999999,5.139999866,0.225999996,53.86600113,38.23899841,8.279999733,0.1382,33.81399918,1.034000039,28.80500031,21.69400024,13.24400043,15.56099987,service vessel,1,Southeast U.S.,32104,295.856171,South Carolina Aquarium,17.74432742,2015,9,1,,,,,,,,,,
Anne Richards - Comanche Reef,,tug,USA, South Carolina,North Atlantic Ocean,32,32.45358,-79.3166,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,364,0.000367,0.735000014,0.521000028,0.388999999,0.345999986,0.713,0.593999982,0.458000004,0.100000001,0.081,0.068999998,4.93599987,0.241999999,55.16400146,37.91999817,8.269000053,0.112999998,35.30099869,1.031000018,28.46199989,22.98900032,17.46899986,10.99300003,service vessel,1,Southeast U.S.,32104,284.792281,South Carolina Aquarium,68.33598002,2015,9,1,,,,,,,,,50,100
Comanche - Comanche Reef,,ship,USA, South Carolina,North Atlantic Ocean,32,32.45658,-79.31788,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,365,0.000367,0.735000014,0.521000028,0.388999999,0.345999986,0.713,0.593999982,0.458000004,0.100000001,0.081,0.068999998,4.93599987,0.241999999,55.16400146,37.91999817,8.269000053,0.112999998,35.30099869,1.031000018,28.46199989,22.98900032,17.46899986,10.99300003,other,1,Southeast U.S.,32104,284.626138,South Carolina Aquarium,68.05283695,2015,9,1,,,,,,,,,,
Nanami - Comanche Reef,,trawler,USA, South Carolina,North Atlantic Ocean,32,32.45523,-79.32667,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,366,0.000367,0.735000014,0.521000028,0.388999999,0.345999986,0.713,0.593999982,0.458000004,0.100000001,0.081,0.068999998,4.93599987,0.241999999,55.16400146,37.91999817,8.269000053,0.112999998,35.30099869,1.031000018,28.46199989,22.98900032,17.46899986,10.99300003,fishing vessel,1,Southeast U.S.,32104,285.292041,South Carolina Aquarium,67.44554941,2015,9,1,,,,,,,,,,
Kiawah Reef,,barge,USA, South Carolina,North Atlantic Ocean,12,32.47963,-80.00927,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,367,0.002935,2.950000048,2.575999975,2.068000078,0.882000029,0.583999991,0.444000006,0.338999987,0.207000002,0.197999999,0.178000003,5.149000168,0.221000001,55.00799942,38.72100067,8.277000427,0.148200005,33.68299866,1.055999994,28.59199905,21.4260006,13.0710001,15.52099991,service vessel,1,Southeast U.S.,32104,329.988411,South Carolina Aquarium,35.40383312,2015,9,1,,,,,,,,,50,100
Kiawah Reef,,barge,USA, South Carolina,North Atlantic Ocean,12,32.47963,-80.00927,,09-2015,http://www.dnr.sc.gov/artificialreefs/docs/ReefGuide2015.pdf,,USA,840,US-SC,368,0.002935,2.950000048,2.575999975,2.068000078,0.882000029,0.583999991,0.444000006,0.338999987,0.207000002,0.197999999,0.178000003,5.149000168,0.221000001,55.00799942,38.72100067,8.277000427,0.148200005,33.68299866,1.055999994,28.59199905,21.4260006,13.0710001,15.52099991,service vessel,1,Southeast U.S.,32104,329.988411,South Carolina Aquarium,35.40383312,2015,9,1,,,,,,,,,50,100
